Control,cases
289.6095777,
396.3990686,
474.2743087,
504.1797359,
547.0072746,
572.0939375,
598.3311166,
690.0889788,
2049.264868,
18.11134027,
62.53855858,
77.93789991,
88.79756244,
91.74113957,
102.8335745,
136.2358956,
142.4839002,
159.0619165,
203.1371512,
232.3871385,
263.6902351,
332.6641774,
369.8588944,
372.8866531,
394.7864513,
447.965119,
462.8148496,
496.025317,
786.2441668,
849.5613889,
1167.575187,
47.59178784,
53.7828229,
71.83580844,
81.84522154,
84.90373596,
100.7588039,
107.1121632,
112.024505,
124.0431191,
129.2041716,
137.912207,
147.207142,
155.8526826,
188.765409,
199.0386552,
256.2721114,
306.6184764,
346.5053103,
360.9223301,
404.5615032,
421.3940626,
474.2743087,
498.0514732,
531.6188866,
605.6932677,
623.2258333,
646.5154666,
832.4206347,
860.014797,
1024.784415,
1216.154398,
1341.151913,
34.91264084,
41.09586555,
52.91295916,
62.79401508,
65.14059557,
80.52148682,
87.71823547,
125.5694047,
132.4033125,
146.0118519,
153.9583062,
163.6661669,
172.5734281,
179.0224096,
272.4313821,
284.9255382,
306.6184764,
323.3056814,
345.095669,
366.8557205,
442.5201403,
508.307079,
538.1601787,
712.9649461,
742.6292238,
1357.654086,
2839.415554,
2553.870825,
2564.302835,
3509.853727,
77.93789991,
82.1795416,
130.2618697,
162.3372331,
218.6030925,
261.5491277,
283.7664137,
363.8769317,
678.9277317,
764.1255756,
26.13877981,
65.9421165,
101.9985882,
114.7982713,
121.5404246,
134.032466,
144.8262674,
181.9654524,
213.3211847,
224.9308384,
233.3363897,
253.1571452,
265.8488702,
222.1968228,
306.6184764,
342.2935671,
500.0859059,
633.4713679,
712.9649461,
21.66943383,
45.13536977,
110.6628565,
149.0184488,
156.4893071,
164.3347078,
178.2941167,
275.7835076,
293.173072,
335.3874507,
437.1413449,
576.7772435,
641.2659014,
745.6627038,
792.6805608,
832.4206347,
870.5968289,
33.65497162,
50.59269411,
63.56666256,
87.00598245,
111.1148904,
117.162135,
125.0585675,
140.7520203,
162.3372331,
175.4104527,
199.8516851,
227.6984946,
278.0411413,
449.7949598,
453.4770953,
476.2116168,
540.3584468,
558.2709516,
613.1460063,
628.3277179,
670.6754217,
757.9210419,
792.6805608,
1102.806853,
1256.469067,
28.59129308,
101.583641,
112.024505,
124.5498084,
159.0619165,
171.8713707,
194.229465,
236.2074719,
278.0411413,
296.7804131,
320.6805094,
345.095669,
388.4013194,
421.3940626,
53.7828229,
73.31501243,
118.6037538,
152.7081982,
188.765409,
199.0386552,
216.8280829,
235.2465406,
274.6615744,
286.0893974,
368.3542469,
424.8437011,
446.1427224,
478.1568384,
613.1460063,
892.1531138,
1054.44811,
88.07654551,
95.94854074,
137.3511572,
152.0869558,
165.6799934,
195.8194766,
212.4533586,
224.9308384,
235.2465406,
287.2580108,
363.8769317,
393.1803943,
417.9724343,
428.3215794,
586.2591855,
870.5968289,
1172.34448,
1534.266153,
3567.554043,
30.02468272,
92.49215579,
113.8661343,
118.121254,
159.71165,
240.0906097,
266.9348054,
287.2580108,
314.2104581,
363.8769317,
385.247585,
402.9156797,
428.3215794,
453.4770953,
695.738222,
721.7376065,
1167.575187,
1206.279489,
31.91789293,
56.47915918,
62.53855858,
104.0988878,
126.0823286,
190.3106905,
203.1371512,
213.3211847,
265.8488702,
276.9100237,
300.4321407,
312.9321977,
329.9630166,
419.6797614,
431.8279284,
455.3294513,
472.3448819,
665.2296829,
692.9078432,
846.1052318,
89.1602813,
93.63022335,
129.7319427,
163.0003457,
179.7536775,
191.0880686,
218.6030925,
247.0403392,
312.9321977,
353.6403596,
551.4852148,
588.6539276,
690.0889788,
730.6182099,
789.4558044,
853.0316636,
1098.320451,
1335.695884,
33.1106484,
87.36138309,
107.9890105,
127.6337057,
140.7520203,
152.7081982,
209.0172156,
224.9308384,
233.3363897,
287.2580108,
402.9156797,
472.3448819,
600.7751699,
623.2258333,
712.9649461,
1813.370395,
75.74535386,
91.36792135,
110.6628565,
120.0631109,
185.7123863,
215.067486,
223.1044488,
232.3871385,
245.0344253,
290.7925703,
319.3759278,
299.2099328,
353.6403596,
366.8557205,
491.9976991,
555.9998125,
944.549661,
1578.677447,
152.0869558,
159.0619165,
169.7822885,
233.3363897,
350.7688767,
374.4098145,
393.1803943,
431.8279284,
586.2591855,
809.0030089,
1425.718419,
90.62603367,
112.024505,
242.0560523,
321.99042,
345.095669,
371.3696881,
388.4013194,
572.0939375,
751.7668876,
903.1305908,
140.7520203,
179.7536775,
232.3871385,
320.6805094,
383.6803337,
643.8853341,
906.8196842,
995.9552188,
1391.27008,
3596.758944,
82.51522727,
89.1602813,
114.3312529,
140.1794177,
146.0118519,
176.8464071,
184.9568774,
202.3107554,
211.589063,
231.4417489,
245.0344253,
276.9100237,
306.6184764,
357.9917191,
369.8588944,
409.5394207,
453.4770953,
562.8410991,
727.6459335,
933.0687387,
995.9552188,
1196.484761,
97.92426104,
101.583641,
50.18189242,
88.07654551,
178.2941167,
214.1925556,
223.1044488,
248.0494456,
261.5491277,
496.025317,
560.5513679,
673.4149859,
721.7376065,
921.727366,
142.4839002,
206.4766287,
218.6030925,
259.4254055,
332.6641774,
340.9010599,
583.8741855,
921.727366,
971.8908579,
1491.104236,
115.2671975,
138.4755486,
144.8262674,
157.1285321,
208.1668988,
253.1571452,
275.7835076,
447.965119,
572.0939375,
687.281582,
1098.320451,
2412.201182,
131.3282264,
144.2370901,
153.9583062,
206.4766287,
266.9348054,
321.99042,
414.5785889,
531.6188866,
555.9998125,
625.7715762,
49.97774413,
87.00598245,
181.9654524,
219.496039,
227.6984946,
273.5442054,
431.8279284,
525.1571034,
588.6539276,
623.2258333,
799.1696448,
895.7973665,
1037.393851,
115.2671975,
135.6816653,
142.4839002,
193.4393072,
218.6030925,
233.3363897,
318.0766533,
336.757436,
586.2591855,
712.9649461,
81.51226156,
109.7642981,
131.8646738,
137.3511572,
237.1723284,
257.3189276,
334.0230387,
352.2016918,
388.4013194,
396.3990686,
433.5918522,
474.2743087,
565.1401834,
591.0584517,
633.4713679,
662.5234179,
751.7668876,
98.32426049,
108.8730359,
144.8262674,
209.0172156,
230.5002054,
250.0800412,
270.2192984,
327.2837885,
442.5201403,
608.1673939,
670.6754217,
1319.460612,
124.5498084,
152.0869558,
231.4417489,
245.0344253,
259.4254055,
290.7925703,
383.6803337,
430.0711805,
449.7949598,
598.3311166,
710.0644861,
1196.484761,
1236.147395,
1578.677447,
143.0659162,
149.0184488,
157.7703682,
195.8194766,
237.1723284,
246.035338,
259.4254055,
270.2192984,
336.757436,
416.2720529,
470.4233043,
137.3511572,
156.4893071,
162.3372331,
156.4893071,
206.4766287,
240.0906097,
305.3711014,
412.8920142,
401.2765517,
433.5918522,
480.1100058,
608.1673939,
600.7751699,
745.6627038,
786.2441668,
903.1305908,
727.6459335,
1308.746879,
